City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current_description
113,Punta Arenas,CL,-53.15,-70.9167,41.11,65,20,24.16,few clouds
114,Longyearbyen,SJ,78.2186,15.6401,40.84,65,40,21.85,scattered clouds
115,Atikokan,CA,48.7555,-91.6216,78.13,31,68,9.04,broken clouds
116,Careiro Da Varzea,BR,-3.2003,-59.8119,79.43,35,14,2.48,few clouds
117,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,48,0,12.66,clear sky
118,Nizhnyaya Omka,RU,55.4338,74.9426,62.62,48,100,14.25,overcast clouds
119,Cap Malheureux,MU,-19.9842,57.6142,72.09,70,6,8.01,clear sky
120,Karratha,AU,-20.7377,116.8463,67.82,79,6,10.92,clear sky
121,Fortuna,US,40.5982,-124.1573,93.18,83,1,9.22,clear sky
122,Yaan,NG,7.3833,8.5667,73.33,92,98,4.23,light rain
123,Lorengau,PG,-2.0226,147.2712,81.23,77,36,4.45,scattered clouds
124,Ancud,CL,-41.8697,-73.8203,47.73,69,4,8.63,clear sky
125,Hasaki,JP,35.7333,140.8333,73.8,85,0,8.95,clear sky
126,Minab,IR,27.1467,57.0801,94.5,53,2,3.11,clear sky
127,Mehamn,NO,71.0357,27.8492,47.19,85,100,7.9,overcast clouds
128,Kalaleh,IR,37.3807,55.4916,76.6,83,75,4.61,broken clouds
129,Byron Bay,AU,-28.65,153.6167,46.71,76,0,7.78,clear sky
130,Buala,SB,-8.145,159.5921,78.84,82,88,2.73,light rain
131,Superior,US,46.7208,-92.1041,80.94,49,1,6.91,clear sky
132,Havre-Saint-Pierre,CA,50.2334,-63.5986,62.96,82,90,10.36,overcast clouds
133,Padang,ID,-0.9492,100.3543,77.07,85,59,3.0,broken clouds
134,Pevek,RU,69.7008,170.3133,32.97,90,100,15.66,overcast clouds
135,Sibolga,ID,1.7427,98.7792,76.03,89,72,3.09,broken clouds
136,Souillac,MU,-20.5167,57.5167,71.98,64,40,18.41,scattered clouds
137,Kantang,TH,7.4054,99.5156,78.78,87,99,3.71,moderate rain
138,Chapeco,BR,-27.0964,-52.6183,59.14,41,0,4.61,clear sky
139,Bathsheba,BB,13.2167,-59.5167,88.41,66,40,18.41,scattered clouds
140,Avarua,CK,-21.2078,-159.775,66.25,88,20,2.3,few clouds
141,Thompson,CA,55.7435,-97.8558,73.56,46,40,9.22,scattered clouds
142,Brokopondo,SR,4.75,-55.1667,84.24,63,100,2.84,overcast clouds
143,Leningradskiy,RU,69.3833,178.4167,32.68,98,100,19.89,light snow
144,Hithadhoo,MV,-0.6,73.0833,81.73,75,70,5.01,broken clouds
145,Abha,SA,18.2164,42.5053,73.22,46,40,5.75,thunderstorm
146,Seymchan,RU,62.8833,152.4333,43.61,73,28,4.76,scattered clouds
147,Wanning,CN,18.8003,110.3967,82.04,86,100,10.11,overcast clouds
148,Thayetmyo,MM,19.3167,95.1833,76.51,94,66,5.08,broken clouds
149,Kodinsk,RU,58.6881,99.1844,56.98,95,100,2.17,overcast clouds
150,Salinopolis,BR,-0.6136,-47.3561,83.19,70,10,8.37,clear sky
151,Pacific Grove,US,36.6177,-121.9166,82.17,85,40,3.0,scattered clouds
152,Tura,IN,25.5198,90.2201,74.82,99,100,5.53,moderate rain
153,Ketchikan,US,55.3422,-131.6461,66.67,77,1,9.22,clear sky
154,Port Elizabeth,ZA,-33.918,25.5701,54.1,93,14,2.3,few clouds
155,Camopi,GF,3.1655,-52.3158,83.1,73,77,2.1,broken clouds
156,Kizukuri,JP,40.8061,140.3861,73.94,92,35,4.5,scattered clouds
157,Estipona,PH,15.5902,120.6377,76.33,94,84,2.98,broken clouds
158,Kommunar,RU,59.6206,30.39,67.42,66,9,6.64,clear sky
159,Manicore,BR,-5.8092,-61.3003,87.75,40,0,6.91,clear sky
160,Baghdad,IQ,33.3406,44.4009,96.71,19,0,1.14,clear sky
161,Isiro,CD,2.7739,27.616,67.35,96,100,2.15,light rain
162,Prado,BR,-17.3411,-39.2208,68.36,76,100,12.33,overcast clouds
163,Vila Velha,BR,-20.3297,-40.2925,67.95,56,0,13.8,clear sky
164,Severnyy,RU,50.677,36.5532,73.44,68,0,6.71,clear sky
165,Axim,GH,4.8699,-2.2405,76.86,85,14,6.71,few clouds
166,Ormara,PK,25.2088,64.6357,81.5,84,100,12.3,overcast clouds
167,Faanui,PF,-16.4833,-151.75,78.53,63,100,14.47,overcast clouds
168,Siavonga,ZM,-16.5382,28.7088,67.55,48,15,4.41,few clouds
169,Marsa Matruh,EG,31.3525,27.2453,82.6,78,0,14.97,clear sky
