City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,Arraial Do Cabo,-22.9661,-42.0278,68.22,74,15,10.94,BR,2021-07-23 03:37:20
111,Lata,40.1629,-8.3327,62.04,94,100,0.87,PT,2021-07-23 03:37:21
112,Srednekolymsk,67.45,153.6833,69.67,36,18,7.81,RU,2021-07-23 03:37:22
113,Krasnoselkup,65.7,82.4667,69.37,60,97,7.87,RU,2021-07-23 03:37:22
114,Punta Arenas,-53.15,-70.9167,37.51,81,20,23.02,CL,2021-07-23 03:37:23
115,Mazatlan,23.2167,-106.4167,88.02,84,20,1.99,MX,2021-07-23 03:35:53
116,Mehamn,71.0357,27.8492,44.55,76,75,23.02,NO,2021-07-23 03:37:24
117,Athabasca,54.7169,-113.2854,59.41,49,62,7.96,CA,2021-07-23 03:32:32
118,Luderitz,-26.6481,15.1594,54.32,37,5,4.61,NA,2021-07-23 03:37:25
119,Nanortalik,60.1432,-45.2371,43.56,95,100,7.43,GL,2021-07-23 03:37:26
120,Hays,30.0502,-98.0336,76.14,93,31,7.0,US,2021-07-23 03:37:26
121,Mayor Pablo Lagerenza,-19.9309,-60.7718,67.17,37,0,4.88,PY,2021-07-23 03:37:27
122,Castro,-24.7911,-50.0119,45.63,74,0,3.71,BR,2021-07-23 03:37:27
123,Takoradi,4.8845,-1.7554,74.32,88,47,7.9,GH,2021-07-23 03:37:28
124,Chokurdakh,70.6333,147.9167,57.16,43,3,8.68,RU,2021-07-23 03:37:28
125,Mount Isa,-20.7333,139.5,82.17,17,13,10.36,AU,2021-07-23 03:37:29
126,Halifax,44.6453,-63.5724,60.85,88,29,1.01,CA,2021-07-23 03:34:33
127,Purranque,-40.9167,-73.1667,47.86,99,87,2.01,CL,2021-07-23 03:37:30
128,Yellowknife,62.456,-114.3525,61.32,100,90,1.99,CA,2021-07-23 03:37:30
129,Norman Wells,65.282,-126.8329,75.24,57,75,12.66,CA,2021-07-23 03:37:31
130,Ukiah,39.1502,-123.2078,85.89,23,1,6.91,US,2021-07-23 03:34:09
131,Umm Lajj,25.0213,37.2685,86.11,51,29,3.53,SA,2021-07-23 03:37:32
132,Kiunga,-6.1219,141.2906,79.12,81,97,4.45,PG,2021-07-23 03:37:32
133,Tuatapere,-46.1333,167.6833,54.82,73,42,5.1,NZ,2021-07-23 03:37:33
134,Maniitsoq,65.4167,-52.9,40.24,96,100,13.51,GL,2021-07-23 03:37:34
135,Abu Dhabi,24.4667,54.3667,98.62,34,0,5.75,AE,2021-07-23 03:37:34
136,Mani,4.8172,-72.2886,70.45,96,100,4.52,CO,2021-07-23 03:37:35
137,Tiznit,29.5833,-9.5,86.13,25,6,9.84,MA,2021-07-23 03:37:35
138,Saint-Philippe,-21.3585,55.7679,67.55,75,42,12.26,RE,2021-07-23 03:37:36
139,Baykit,61.67,96.37,78.26,37,35,3.0,RU,2021-07-23 03:37:36
140,Tenenkou,14.4572,-4.9169,78.67,70,26,12.21,ML,2021-07-23 03:37:37
141,Pisco,-13.7,-76.2167,62.65,77,90,8.05,PE,2021-07-23 03:37:38
142,Hamilton,39.1834,-84.5333,70.88,81,1,0.0,US,2021-07-23 03:37:22
143,Pevek,69.7008,170.3133,44.42,66,5,7.31,RU,2021-07-23 03:37:39
144,Ilulissat,69.2167,-51.1,42.82,87,100,0.0,GL,2021-07-23 03:37:40
145,Klaksvik,62.2266,-6.589,49.12,95,94,10.6,FO,2021-07-23 03:37:41
146,Mogadishu,2.0371,45.3438,76.87,82,70,21.39,SO,2021-07-23 03:37:41
147,Pochutla,15.7432,-96.4661,81.82,88,45,4.61,MX,2021-07-23 03:37:42
148,Lasa,46.6166,10.7002,65.28,85,2,3.29,IT,2021-07-23 03:37:43
149,Longyearbyen,78.2186,15.6401,44.44,81,75,19.57,SJ,2021-07-23 03:37:07
150,La Palma,33.8464,-118.0467,84.04,80,75,5.99,US,2021-07-23 03:37:44
151,Kapaa,22.0752,-159.319,84.18,79,75,3.0,US,2021-07-23 03:35:53
152,Gazojak,41.1875,61.4036,91.92,13,0,10.85,TM,2021-07-23 03:37:45
153,Davila,18.4726,120.5763,85.98,84,100,21.68,PH,2021-07-23 03:37:48
154,San Patricio,28.017,-97.5169,84.83,80,56,12.57,US,2021-07-23 03:37:48
155,Payson,40.0444,-111.7321,76.41,85,75,8.05,US,2021-07-23 03:37:49
