City_ID,City,Country,Max Temp,Current_description,Lat,Lng,Hotel Name
220,Honiara,SB,76.77,overcast clouds,-9.4333,159.95,Heritage Park Hotel
221,Mahibadhoo,MV,82.45,overcast clouds,3.7833,72.9667,Omadhoo Inn
227,Nichinan,JP,76.1,overcast clouds,31.6,131.3667,Guest House Aki
229,Huilong,CN,81.99,light rain,31.8111,121.655,Hilton Garden Inn Qidong
231,Mpulungu,ZM,73.54,clear sky,-8.7623,31.1141,Chela moche guest house
232,Krasnoarmeysk,RU,74.07,overcast clouds,51.0239,45.6969,"Hotel ""Your home-Balzer"""
233,Mahebourg,MU,71.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
235,Bitung,ID,77.85,clear sky,1.4451,125.1824,K2 Lembeh
238,Chalons-En-Champagne,FR,72.18,scattered clouds,48.9539,4.3672,Hotel D'Angleterre
243,Port Blair,IN,82.02,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
249,Porto Novo,BJ,80.42,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
251,Santiago Del Estero,AR,65.8,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
253,Singkawang,ID,77.45,few clouds,0.9,109.0,Capital O 1822 Wahana Inn
254,Mahanoro,MG,67.48,light rain,-19.9,48.8,BUNGALOW MAHAMANINA
261,Melfort,CA,81.36,clear sky,52.8667,-104.6177,Carra Valla Inn
266,Tuktoyaktuk,CA,66.2,broken clouds,69.4541,-133.0374,End of The Road Ltd.
267,Hoima,UG,71.28,overcast clouds,1.4356,31.3436,Tik Hotel
268,Malakal,SS,70.27,overcast clouds,9.5334,31.6605,Nile Palace Hotel
269,Wenling,CN,78.91,overcast clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
270,Aksu,CN,81.28,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
273,Sambava,MG,68.76,light rain,-14.2667,50.1667,Melrose
275,Banda Aceh,ID,79.56,overcast clouds,5.5577,95.3222,Sulthan Hotel International
276,Zherdevka,RU,69.57,overcast clouds,51.8486,41.4606,Юнона
285,Priamurskiy,RU,68.41,overcast clouds,48.5217,134.9028,Ekvator
286,Poum,NC,70.09,clear sky,-20.2333,164.0167,Gîte kajeon
288,Ambulu,ID,75.0,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
292,Tecoanapa,MX,81.99,overcast clouds,16.5167,-98.75,Hotel Manglares
295,Nanticoke,US,80.62,scattered clouds,41.2054,-76.0049,Keisha's
296,Santa Isabel Do Rio Negro,BR,82.6,overcast clouds,-0.4139,-65.0192,Hotel GSA
298,Shizunai,JP,69.13,broken clouds,42.3339,142.3669,Shizunai Eclipse Hotel
311,Hamburg,DE,72.28,clear sky,53.55,10.0,IntercityHotel Hamburg Hauptbahnhof
313,Ponta Do Sol,PT,76.71,clear sky,32.6667,-17.1,Hotel do Campo
314,Altamont,US,75.04,few clouds,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
315,Charters Towers,AU,66.24,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
317,Inuvik,CA,72.46,broken clouds,68.3499,-133.7218,Nova Inn Inuvik
318,Sao Joao Da Barra,BR,71.69,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
320,Samarai,PG,79.57,overcast clouds,-10.6167,150.6667,Nuli Sapi
321,Lasa,IT,75.11,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
322,Henties Bay,,67.86,clear sky,-22.116,14.2845,Fishermans Guest House
323,Labuan,MY,79.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
324,Kudahuvadhoo,MV,82.27,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
325,Nouakchott,MR,78.73,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
328,Kupang,ID,74.21,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
329,Sarab,IR,76.12,overcast clouds,38.6066,44.9883,مسجد امام رضا
332,Monticello,US,78.98,haze,45.3055,-93.7941,Super 8 by Wyndham Monticello
333,Tautira,PF,78.82,overcast clouds,-17.7333,-149.15,Pension Oaoa
334,Basar,IN,71.76,overcast clouds,27.9833,94.6667,UD & Housing Guest House
340,Tadpatri,IN,80.6,overcast clouds,14.9167,78.0167,VASAVI TIFFIN CENTRE
341,Majholi,IN,74.95,light rain,23.5,79.9167,Amit Jain majholi
343,Saint-Joseph,RE,66.58,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
344,Porto Santo,PT,75.11,broken clouds,33.072,-16.3415,Hotel Porto Santo & Spa
345,Lagoa,PT,71.22,clear sky,39.05,-27.9833,Casa Das Faias
347,Hanna,CA,82.04,few clouds,51.6334,-111.9018,"West View Motel, Hanna, AB"
354,Auxerre,FR,69.66,clear sky,47.8,3.5667,Hôtel Les Maréchaux
363,Vila Franca Do Campo,PT,72.01,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
367,Patrasaer,IN,75.38,overcast clouds,23.2167,87.5167,kali mandir
371,Augusta,DE,78.39,thunderstorm with rain,48.3667,10.8833,Hotel am Rathaus
372,Luderitz,,68.0,clear sky,-26.6481,15.1594,LÜDERITZ NEST HOTEL
374,Nantucket,US,80.94,scattered clouds,41.2835,-70.0995,Jared Coffin House
375,Puerto Narino,CO,78.75,broken clouds,-3.7703,-70.3831,Eware Refugio Amazonico
377,Shawville,CA,65.08,clear sky,45.6001,-76.4827,Shawville Hotel
378,Galle,LK,79.59,broken clouds,6.0367,80.217,Amangalla
382,Birjand,IR,68.99,clear sky,32.8663,59.2211,Birjand Tourist Hotel
387,Maumere,ID,77.27,scattered clouds,-8.6199,122.2111,Sylvia Hotel
388,Barpathar,IN,77.31,overcast clouds,26.3,93.8667,chandan jyoti borah
389,Ahmadpur,IN,73.81,overcast clouds,18.7,76.9333,Hengane (Pitashri Niwas)
390,San Matias,BO,81.1,clear sky,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
391,Hambantota,LK,80.94,clear sky,6.1241,81.1185,Bungalow 63
392,Beidao,CN,69.66,clear sky,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
396,Norman Wells,CA,73.44,few clouds,65.282,-126.8329,Heritage Hotel
397,Dawlatabad,AF,81.75,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
399,Naisud,PH,81.39,overcast clouds,11.8058,122.1939,ALTUQUERO
410,Mashhad,IR,77.14,clear sky,36.297,59.6062,Khanye Sabz Hotel
411,Muli,MV,82.51,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
413,Tukrah,LY,81.9,clear sky,32.5341,20.5791,Lokta restaurant
415,Mackay,AU,66.69,overcast clouds,-21.15,149.2,International Lodge Motel
416,Port-Gentil,GA,76.96,scattered clouds,-0.7193,8.7815,Fengshui Residence
420,Dharchula,IN,72.21,overcast clouds,29.85,80.5333,Mahara Hotel
